event_id,event_date,event_title,country_name,admin_division_name,latitude,longitude,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count
8237,07/01/2016 12:00:00 AM,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",India,Arunachal Pradesh,27.0136,92.6351,landslide,downpour,large,5.0,3.0
4859,05/11/2013 12:00:00 AM,"Sarania Hills, North Guwahati, Guwahati, Assam,",India,Assam,26.1771,91.7599,landslide,rain,medium,,1.0
3916,08/13/2011 08:00:00 AM,"Chumukedima, Dimapur",India,Assam,25.7713,93.8067,mudslide,downpour,medium,0.0,
5250,08/01/2013 12:00:00 AM,"Polo River At Polosang, Arunachal Pradesh",India,Arunachal Pradesh,27.8837,93.0515,mudslide,rain,medium,,
3805,07/19/2011 12:00:00 AM,200 meters from Teesta Bridge towards Siliguri,India,Sikkim,27.05374234,88.42572376,landslide,rain,medium,0.0,
3738,07/06/2011 12:00:00 AM,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",India,Manipur,24.8063,93.9482,landslide,downpour,medium,6.0,
2426,09/13/2010 12:00:00 AM,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",India,Mizoram,22.7176,92.8416,landslide,downpour,medium,0.0,
7266,07/22/2015 12:00:00 AM,Yangkhullen-Tamphung road till Nagaland border,India,Manipur,25.5098,93.8794,landslide,continuous_rain,medium,0.0,0.0
1129,08/30/2009 12:00:00 AM,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",India,Manipur,24.8628,94.4182,landslide,downpour,medium,,
2166,07/29/2010 12:00:00 AM,"Highway 53 at Tupul, Tamenglong district",India,Assam,24.9786,93.5027,landslide,downpour,medium,0.0,
213,08/26/2007 12:00:00 AM,Shillong Road at Kuliang in the Jaintia Hills,India,Assam,25.2946,92.8339,landslide,rain,medium,,
4426,06/22/2012 12:00:00 AM,Lalunggaon near Gorchuk area,India,Assam,26.1226,91.7162,landslide,downpour,medium,3.0,
8366,09/23/2015 03:00:00 PM,"Shillong, Meghalaya, India",India,Meghalaya,25.583,91.893,landslide,downpour,medium,2.0,1.0
1934,06/03/2010 05:00:00 AM,Rongpur village under Bhairabhnagar panchayat in Karimganj district,India,Assam,24.6005,92.3814,landslide,downpour,medium,2.0,
7655,04/22/2016 02:30:00 AM,"Tawang, Arunachal Pradesh",India,Arunachal Pradesh,27.5799,91.8569,landslide,continuous_rain,medium,17.0,0.0
9464,08/05/2016 12:00:00 AM,Babrang village under Jang circle in Tawang district,India,Arunachal Pradesh,27.5754,91.9754,landslide,downpour,medium,0.0,3.0
580,06/09/2008 12:00:00 AM,"near Kuloor church, in Manipur along National Highway",India,Manipur,24.6596,93.9784,landslide,monsoon,medium,,
8996,07/14/2016 12:00:00 AM,"Pub Sarania hill, South Sarania, Guwahati, Assam, India",India,Assam,26.1768,91.7702,landslide,monsoon,small,1.0,0.0
7138,07/07/2015 12:00:00 AM,"NH-10, Sepi Jhora, Kalimpong",India,Sikkim,27.0816,88.4397,landslide,continuous_rain,small,0.0,0.0
4857,05/11/2013 09:00:00 AM,"Laipuitland , Aizawl, Mizoram",India,Mizoram,23.7281,92.7175,landslide,rain,large,15.0,
6945,06/19/2015 12:00:00 AM,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",India,Manipur,25.16,93.686,landslide,monsoon,medium,0.0,0.0
4860,05/11/2013 12:00:00 AM,"Boragaon, North Guwahati, Guwahati, Assam,",India,Assam,26.1016,91.6906,landslide,rain,medium,,
4845,05/07/2013 12:00:00 AM,"Kolasib, Saiha, Mizoram,",India,Mizoram,24.2315,92.6755,mudslide,rain,medium,,
1770,04/20/2010 12:00:00 AM,"Kharghuli, Guwahati, Assam",India,Assam,26.1965,91.763,landslide,downpour,medium,0.0,
7728,08/22/2015 09:00:00 AM,Natonal Highway in Jorabat area,India,Assam,26.1028,91.8806,landslide,continuous_rain,medium,0.0,0.0
7836,08/27/2015 12:00:00 AM,"National Highway 54, at Kawnpui town",India,Mizoram,24.042,92.6724,landslide,downpour,medium,0.0,0.0
4798,04/07/2013 12:00:00 AM,"Dibang Valley, Arunachal Pradesh",India,Arunachal Pradesh,28.8254,96.1509,landslide,rain,medium,,
7388,08/01/2015 12:00:00 AM,Senam,India,Manipur,24.416,94.0984,landslide,continuous_rain,medium,0.0,0.0
9619,10/15/2016 12:00:00 AM,Namchi,India,Sikkim,27.1695,88.3664,landslide,rain,medium,0.0,0.0
7591,03/19/2015 12:00:00 AM,Ratacherra,India,Assam,25.0318,92.4584,landslide,rain,small,0.0,0.0
9232,07/28/2016 11:00:00 PM,"Ngur, near Mizoram-Myanmar border, India",India,Mizoram,23.5397,93.3783,landslide,continuous_rain,medium,2.0,6.0
4434,06/25/2012 06:00:00 PM,"Sonaighuli area near Kahilipara, Guwahati City, Assam",India,Assam,26.1049,91.7369,landslide,downpour,large,1.0,
4378,06/02/2012 12:00:00 AM,"Arunachal Pradesh, Dibang,",India,Arunachal Pradesh,28.8254,96.1517,landslide,downpour,medium,,
7214,07/15/2015 08:00:00 AM,Type-IV Colony of Seppa in East Kameng,India,Arunachal Pradesh,27.36,93.0385,landslide,monsoon,medium,3.0,0.0
5582,10/06/2013 12:45:00 PM,"Batahguli, Guwahati, Assam",India,Assam,26.1309,91.8383,landslide,downpour,medium,1.0,
3556,05/31/2011 02:00:00 PM,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",India,Manipur,25.1555,93.8474,landslide,continuous_rain,small,0.0,
2423,09/13/2010 12:00:00 AM,"road to Kanan Veng from Hunthar Veng, Mizoram",India,Mizoram,23.73504471,92.71060943,landslide,downpour,medium,,
3532,05/24/2011 12:00:00 AM,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",India,Assam,25.0888,92.8551,complex,downpour,medium,0.0,
2345,08/27/2010 06:00:00 PM,"Daragaon(?), Gangtok city, Sikkim",India,Sikkim,27.3392,88.6188,landslide,downpour,medium,0.0,
7956,09/05/2015 12:00:00 AM,Byrnihat,India,Meghalaya,26.048,91.8695,landslide,unknown,medium,0.0,0.0
2425,09/13/2010 12:00:00 AM,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",India,Mizoram,23.3439,93.0748,landslide,downpour,medium,0.0,
6970,06/16/2015 12:00:00 AM,Akonggre,India,Meghalaya,25.5084,90.2191,rock_fall,downpour,small,1.0,0.0
5312,08/11/2013 11:00:00 PM,Kangtsung Village,India,Assam,26.7103,94.693,landslide,downpour,very_large,0.0,
